Date,Condition,Label,quality based on d35 (good vs bad),Scaling ,Deviation_from_scaling_absolute,Deviation_from_scaling_normalized,d14_Area (um2),d14_Diameter (um),d14_circularity,d14_perimeter (um),d14_aspect ratio,d14_solidity,d21_Area (um2),d21_Diameter (um),d21_circularity,d21_perimeter (um),d21_aspect ratio,d21_solidity,d28_Area (um2),d28_Diameter (um),d28_circularity,d28_perimeter (um),d28_aspect ratio,d28_solidity,d35_Area (um2),d35_Diameter (um),d35_circularity,d35_perimeter (um),d35_aspect ratio,d35_solidity
5/16/2019,Simple recirc 1ml/hr,D14_device1_t4.png,0,0.7532,0.2532,0.5064,668863.3413,922.8343601,0.663,12677503.22,1.866,0.935,1052775.975,1157.771999,0.853,15509464.33,1.519,0.974,1802273.926,1514.835447,0.713,31764434.93,1.607,0.913,2624748.976,1828.095783,0.751,43919531.82,1.444,0.918
5/16/2019,Simple recirc 1ml/hr,D14_device1_t5.png,0,0.1099,0.3901,0.7802,726241.4297,961.6024684,0.78,11700280.72,1.207,0.947,446176.8226,753.7174368,0.95,5901919.276,1.092,0.992,461872.1855,766.8597859,0.897,6470520.69,1.092,0.992,1022219.461,1140.846283,0.57,22536120.35,1.956,0.839
5/16/2019,Simple recirc 1ml/hr,D14_device1_t6.png,1,0.3555,0.1445,0.289,780995.1722,997.1930292,0.77,12745811.41,1.057,0.93,972164.1852,1112.563654,0.923,13235726.38,1.106,0.985,1291365.775,1282.270631,0.938,17300406.11,1.025,0.985,1466755.751,1366.576534,0.94,19608294,1.027,0.988
5/16/2019,Simple recirc 1ml/hr,D14_device1_t8.png,1,0.2977,0.2023,0.4046,1060258.53,1161.879119,0.696,19143105.79,1.363,0.927,1550471.114,1405.034212,0.848,22976172.94,1.282,0.95,858235,1045.341447,0.907,11890737.69,1.306,0.98,2518558.055,1790.733847,0.888,35640916.59,1.263,0.978
5/16/2019,Simple recirc 1ml/hr,D14_device2_t1.png,1,0.5741,0.0741,0.1482,578808.9781,858.4651884,0.814,8935538.247,1.567,0.97,876901.6999,1056.648438,0.796,13843557.48,1.306,0.951,1299454.339,1286.28016,0.828,19721527.56,1.203,0.952,1628035.113,1439.749522,0.886,23090849.44,1.194,0.978
5/16/2019,Simple recirc 1ml/hr,D14_device2_t2.png,1,0.3754,0.1246,0.2492,870593.1275,1052.840727,0.735,14884620.26,1.273,0.942,1192081.829,1231.992583,0.837,17897421.82,1.164,0.964,1488589.801,1376.710355,0.845,22137480.63,1.099,0.97,1723642.44,1481.421518,0.914,23697953.73,1.031,0.979
5/16/2019,Simple recirc 1ml/hr,D14_device2_t4.png,0,0.5225,0.0225,0.045,1014275.427,1136.404674,0.563,22639006.96,1.503,0.867,1463563.431,1365.088582,0.833,22078848.12,1.355,0.959,2061997.951,1620.313961,0.89,29114416.25,1.426,0.983,2624748.976,1828.095783,0.778,42395332.13,1.648,0.956
5/16/2019,Simple recirc 1ml/hr,D14_device2_t5.png,0,0.4011,0.0989,0.1978,762470.0799,985.2954163,0.641,14947709.21,1.335,0.93,1019607.793,1139.387977,0.653,19621392.67,1.46,0.919,1446024.687,1356.884598,0.791,22972543.78,1.196,0.937,1517533.673,1390.030173,0.816,23369963.91,1.254,0.95
5/16/2019,Simple recirc 1ml/hr,D14_device2_t6.png,0,0.6602,0.1602,0.3204,701090.815,944.8050329,0.744,11841622.33,1.49,0.941,1216385.553,1244.487922,0.772,19799937.4,1.505,0.932,1650452.351,1449.627952,0.783,26488117.4,1.563,0.933,2424335.166,1756.917586,0.736,41392791.01,1.698,0.935
5/23/2019,Simple recirc 1ml/hr,D14_Device2_t2.png,0,0.2683,0.2317,0.4634,457508.4182,763.2285438,0.71,8097493.44,1.12,0.941,660718.9947,917.1987527,0.825,10064048.19,1.444,0.967,1311883.849,1292.417268,0.824,20006818.75,1.364,0.975,566946,849.6223084,0.766,9300853.204,1.848,0.965
5/23/2019,Simple recirc 1ml/hr,D14_Device2_t3.png,0,0.5907,0.0907,0.1814,371985.1718,688.205079,0.812,5756777.749,1.277,0.966,512533.4699,807.8229273,0.844,7631143.999,1.077,0.957,789920.4836,1002.874866,0.852,11650743.61,1.167,0.958,1089985.902,1178.054818,0.858,15964063.88,1.211,0.973
5/23/2019,Simple recirc 1ml/hr,D14_Device2_t4.png,0,0.5208,0.0208,0.0416,469329.3846,773.0256994,0.695,8485995.664,1.377,0.934,700989.3911,944.7366898,0.661,13326614.95,1.4,0.921,786276.8266,1000.559218,0.679,14551761.43,1.142,0.897,1332957.219,1302.756249,0.835,20060400.52,1.374,0.957
5/23/2019,Simple recirc 1ml/hr,D14_Device2_t5.png,0,0.597,0.097,0.194,533021.1165,823.810393,0.698,9596190.394,1.441,0.928,1250912.816,1262.026808,0.638,24638611.37,1.248,0.882,1346264.047,1309.242767,0.641,26392594.32,1.726,0.887,1660731.673,1454.13522,0.668,31241571.39,1.309,0.898
5/23/2019,Simple recirc 1ml/hr,D14_Device2_t6.png,0,0.3319,0.1681,0.3362,642224.3296,904.2706525,0.717,11255828.37,1.192,0.951,743701.57,973.0931345,0.643,14534416.11,1.086,0.904,979083.8371,1116.516126,0.78,15773756.87,1.161,0.953,1166441.843,1218.671359,0.827,17724232.78,1.093,0.953
