Coef name,Coef
Scaling,0.185094
Deviation_from_scaling_absolute,0.203740
Deviation_from_scaling_normalized,0.203740
d14_Area (um2),0.128728
d14_Diameter (um),0.342543
d14_circularity,0.247271
d14_perimeter (um),0.247977
d14_aspect ratio,0.622203
d14_solidity,0.308856
d21_Area (um2),0.265954
d21_Diameter (um),0.521148
d21_circularity,0.477917
d21_perimeter (um),0.153536
d21_aspect ratio,0.265897
d21_solidity,0.760336
d28_Area (um2),0.196633
d28_Diameter (um),0.203787
d28_circularity,0.204941
d28_perimeter (um),0.224002
d28_aspect ratio,0.468297
d28_solidity,0.227163
d35_Area (um2),0.130038
d35_Diameter (um),0.289373
d35_circularity,0.827046
d35_perimeter (um),0.408710
d35_aspect ratio,0.335462
d35_solidity,0.408679
